"Empresa";"Credor";"Centro de Custo";"Plano Financeiro";"Documento";"Lançamento";"Parcela";"Id";"Dt. emissão";"Valor original";"Dt. vencimento";"Saldo atual";"Dias";"Dt. baixa";"Valor baixa";"Acréscimo";"Desconto";"Pagto líquido";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"258 - CENTRAL GLASS ALUMINIO COMERCIO DE VIDROS E ALUMINIO EIRELI";"301 - Eindom Participações - Adm/Financeiro";"2.01.99.07 - Benfeitorias em Imóveis";"NFS .04596";"2745";"1/1";"00";"25/01/2023";"14.266,00";"25/01/2023";"0,00";"2";"27/01/2023";"14.266,00";"0,00";"0,00";"14.266,00";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"258 - CENTRAL GLASS ALUMINIO COMERCIO DE VIDROS E ALUMINIO EIRELI";"301 - Eindom Participações - Adm/Financeiro";"2.01.99.07 - Benfeitorias em Imóveis";"NFE .04605";"2746";"1/1";"00";"17/02/2023";"14.266,00";"17/02/2023";"0,00";"0";"17/02/2023";"14.266,00";"0,00";"0,00";"14.266,00";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"269 - GLENCORE DO BRASIL COMERCIO E EXPORTACAO LTDA";"301 - Eindom Participações - Adm/Financeiro";"2.04.04.09 - IPTU - Cota Única.";"GUIA.02023";"1884";"1/1";"00";"01/02/2023";"21.860,58";"07/02/2023";"0,00";"0";"07/02/2023";"21.860,58";"0,00";"0,00";"21.860,58";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"269 - GLENCORE DO BRASIL COMERCIO E EXPORTACAO LTDA";"301 - Eindom Participações - Adm/Financeiro";"2.01.06.01 - Aluguéis";"REC .01042023";"2495";"1/1";"00";"06/04/2023";"46.222,74";"10/04/2023";"0,00";"0";"10/04/2023";"46.222,74";"0,00";"0,00";"46.222,74";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"269 - GLENCORE DO BRASIL COMERCIO E EXPORTACAO LTDA";"301 - Eindom Participações - Adm/Financeiro";"2.01.06.01 - Aluguéis";"REC .052023";"2871";"1/1";"00";"01/05/2023";"26.815,47";"10/05/2023";"0,00";"0";"10/05/2023";"26.815,47";"0,00";"0,00";"26.815,47";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"269 - GLENCORE DO BRASIL COMERCIO E EXPORTACAO LTDA";"301 - Eindom Participações - Adm/Financeiro";"2.01.06.01 - Aluguéis";"REC .31052023";"3269";"1/1";"00";"01/06/2023";"25.975,73";"10/06/2023";"0,00";"0";"09/06/2023";"25.975,73";"0,00";"0,00";"25.975,73";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"269 - GLENCORE DO BRASIL COMERCIO E EXPORTACAO LTDA";"301 - Eindom Participações - Adm/Financeiro";"2.01.06.01 - Aluguéis";"REC .062023";"3637";"1/1";"00";"30/06/2023";"24.139,17";"10/07/2023";"0,00";"0";"10/07/2023";"24.139,17";"0,00";"0,00";"24.139,17";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"269 - GLENCORE DO BRASIL COMERCIO E EXPORTACAO LTDA";"301 - Eindom Participações - Adm/Financeiro";"2.01.06.01 - Aluguéis";"REC .072023";"4225";"1/1";"00";"02/08/2023";"25.997,73";"10/08/2023";"0,00";"0";"10/08/2023";"25.997,73";"0,00";"0,00";"25.997,73";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"269 - GLENCORE DO BRASIL COMERCIO E EXPORTACAO LTDA";"301 - Eindom Participações - Adm/Financeiro";"2.01.06.01 - Aluguéis";"REC .092023";"4866";"1/1";"00";"04/09/2023";"26.041,73";"10/09/2023";"0,00";"1";"11/09/2023";"26.041,73";"0,00";"0,00";"26.041,73";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"274 - NEO INTERIORES COMERCIO E DECORACOES - EIRELI";"301 - Eindom Participações - Adm/Financeiro";"2.01.99.07 - Benfeitorias em Imóveis";"NFE .002.524";"2547";"1/1";"00";"30/01/2023";"13.342,11";"30/01/2023";"0,00";"0";"30/01/2023";"13.342,11";"0,00";"0,00";"13.342,11";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"274 - NEO INTERIORES COMERCIO E DECORACOES - EIRELI";"301 - Eindom Participações - Adm/Financeiro";"2.01.99.07 - Benfeitorias em Imóveis";"NFE .002536";"2548";"1/1";"00";"15/02/2023";"13.342,11";"15/02/2023";"0,00";"0";"15/02/2023";"13.342,11";"0,00";"0,00";"13.342,11";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"274 - NEO INTERIORES COMERCIO E DECORACOES - EIRELI";"301 - Eindom Participações - Adm/Financeiro";"2.01.99.07 - Benfeitorias em Imóveis";"NFE .2536";"2549";"1/1";"00";"15/02/2023";"9.403,24";"15/02/2023";"0,00";"0";"15/02/2023";"9.403,24";"0,00";"0,00";"9.403,24";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"275 - DOMO 2008 COMERCIO DE PRODUTOS ELETRICOS EIRELI";"301 - Eindom Participações - Adm/Financeiro";"2.01.99.07 - Benfeitorias em Imóveis";"NFE .1598";"2747";"1/1";"00";"06/02/2023";"4.890,00";"06/02/2023";"0,00";"1";"07/02/2023";"4.890,00";"0,00";"0,00";"4.890,00";"";"";"";"";"";"";
